taxid	rank
family	9307
family	9331
family	9335
family	9338
family	9342
family	9349
family	9352
family	9359
family	9363
family	9369
family	9373
family	9376
family	9389
family	9393
family	9398
family	9409
family	9415
family	9431
family	9436
family	9445
family	9461
family	9475
family	9498
family	9527
family	9577
family	9604
family	9608
family	9632
family	9647
family	9655
family	9673
family	9676
family	9681
family	9697
family	9702
family	9705
family	9709
family	9723
family	9726
family	9740
family	9747
family	9750
family	9756
family	9762
family	9765
family	9775
family	9780
family	9788
family	9799
family	9803
family	9811
family	9816
family	9821
family	9827
family	9831
family	9835
family	9846
family	9850
family	9889
family	9892
family	9895
family	9972
family	9976
family	9979
family	10010
family	10015
family	10021
family	10066
family	10135
family	10139
family	10147
family	10150
family	10155
family	10158
family	10161
family	10164
family	10167
family	10193
family	10210
family	10216
family	10221
family	10235
family	10240
family	10292
family	10404
family	10442
family	10472
family	10474
family	10477
family	10482
family	10486
family	10501
family	10508
family	10656
family	10659
family	10662
family	10699
family	10744
family	10780
family	10811
family	10841
family	10860
family	10877
family	10880
family	10993
family	11006
family	11012
family	11018
family	11050
family	11118
family	11158
family	11244
family	11266
family	11270
family	11308
family	11617
family	11632
family	11974
family	11989
family	12058
family	12283
family	13795
family	13799
family	13803
family	13806
family	13811
family	13814
family	13819
family	13822
family	13828
family	13837
family	14081
family	14101
family	14107
family	14146
family	15958
family	16362
family	16367
family	16376
family	16472
family	16611
family	16614
family	16667
family	16673
family	16711
family	16712
family	16714
family	16727
family	16733
family	16737
family	16739
family	16748
family	19373
family	19944
family	19955
family	20008
family	20019
family	21472
family	21561
family	21571
family	21910
family	22009
family	22063
family	22097
family	22118
family	22140
family	22274
family	22297
family	22298
family	22299
family	22300
family	22788
family	22910
family	22973
family	23040
family	23066
family	23097
family	23121
family	23513
family	23672
family	23808
family	24079
family	24579
family	24584
family	24902
family	24921
family	24942
family	24943
family	24945
family	24955
family	24966
family	25623
family	25636
family	25664
family	25673
family	25692
family	25732
family	25736
family	25889
family	25913
family	25926
family	25931
family	25996
family	26000
family	26019
family	26122
family	26279
family	26319
family	26339
family	26468
family	26766
family	26772
family	26778
family	26818
family	26949
family	26958
family	27005
family	27028
family	27046
family	27065
family	27223
family	27254
family	27319
family	27330
family	27352
family	27387
family	27394
family	27401
family	27413
family	27417
family	27422
family	27427
family	27437
family	27439
family	27443
family	27471
family	27474
family	27479
family	27482
family	27484
family	27488
family	27508
family	27511
family	27515
family	27524
family	27528
family	27532
family	27544
family	27548
family	27551
family	27564
family	27567
family	27573
family	27577
family	27580
family	27583
family	27690
family	27693
family	27718
family	27723
family	27766
family	27767
family	27768
family	27769
family	27770
family	27774
family	27792
family	27799
family	27800
family	27802
family	27813
family	27818
family	27822
family	27830
family	27833
family	27840
family	27843
family	27852
family	27856
family	27861
family	27864
family	27868
family	27875
family	27885
family	27893
family	27896
family	27902
family	27920
family	27926
family	27938
family	27946
family	27950
family	27970
family	27974
family	27979
family	27994
family	27999
family	28010
family	28018
family	28021
family	28056
family	28256
family	28466
family	28556
family	28568
family	28629
family	28632
family	28635
family	28660
family	28683
family	28725
family	28728
family	28731
family	28735
family	28756
family	28758
family	28768
family	28771
family	28778
family	28843
family	28983
family	28984
family	29007
family	29020
family	29026
family	29032
family	29035
family	29051
family	29132
family	29135
family	29142
family	29146
family	29166
family	29186
family	29202
family	29217
family	29585
family	29600
family	29607
family	29616
family	29619
family	29629
family	29632
family	29635
family	29637
family	29820
family	29824
family	29827
family	29966
family	30002
family	30007
family	30009
family	30062
family	30078
family	30080
family	30083
family	30086
family	30089
family	30092
family	30095
family	30102
family	30161
family	30187
family	30189
family	30190
family	30222
family	30228
family	30268
family	30274
family	30311
family	30312
family	30340
family	30365
family	30366
family	30378
family	30380
family	30412
family	30417
family	30443
family	30444
family	30445
family	30446
family	30448
family	30451
family	30459
family	30462
family	30469
family	30475
family	30480
family	30507
family	30511
family	30533
family	30558
family	30562
family	30599
family	30613
family	30614
family	30615
family	30644
family	30645
family	30646
family	30648
family	30649
family	30650
family	30657
family	30658
family	30659
family	30660
family	30662
family	30700
family	30717
family	30718
family	30719
family	30720
family	30721
family	30723
family	30726
family	30757
family	30758
family	30759
family	30760
family	30761
family	30763
family	30764
family	30766
family	30767
family	30768
family	30769
family	30771
family	30806
family	30828
family	30840
family	30842
family	30843
family	30845
family	30846
family	30847
family	30848
family	30849
family	30850
family	30851
family	30852
family	30853
family	30854
family	30855
family	30856
family	30857
family	30858
family	30859
family	30860
family	30861
family	30862
family	30863
family	30864
family	30865
family	30866
family	30867
family	30869
family	30870
family	30871
family	30874
family	30875
family	30876
family	30885
family	30887
family	30888
family	30890
family	30892
family	30893
family	30908
family	30910
family	30917
family	30918
family	30943
family	30947
family	30948
family	30949
family	30950
family	30955
family	30972
family	30974
family	30975
family	30976
family	30983
family	30984
family	30986
family	30987
family	30988
family	30989
family	30994
family	30995
family	30996
family	30997
family	30998
family	31000
family	31001
family	31002
family	31004
family	31006
family	31007
family	31008
family	31009
family	31010
family	31011
family	31012
family	31013
family	31014
family	31015
family	31016
family	31017
family	31018
family	31019
family	31020
family	31024
family	31025
family	31026
family	31027
family	31029
family	31031
family	31034
family	31090
family	31091
family	31092
family	31093
family	31098
family	31099
family	31101
family	31102
family	31103
family	31168
family	31173
family	31176
family	31181
family	31183
family	31185
family	31212
family	31245
family	31248
family	31253
family	31256
family	31259
family	31262
family	31268
family	31294
family	31314
family	31319
family	31323
family	31331
family	31334
family	31338
family	31345
family	31352
family	31356
family	31362
family	31365
family	31371
